tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id,root_tweet_id,root_author_id,root_created_at,conversation_group_id
1310621,426269,True,Fri Oct 27 05:02:59 +0000 2017,ほんで何勝手にプライム会員登録しとんねん https://t.co/W1EjqiZ7Zk,1310619,,1310621,426269,Fri Oct 27 05:02:59 +0000 2017,CONV_1310621
1310619,AmazonHelp,False,Fri Oct 27 05:25:28 +0000 2017,@426269 リプライ失礼いたします。ご記憶がなく登録されている場合、お調べのうえご対応させていただきます。その場合、お手数ですが以下リンクよりカスタマーサービスにご連絡ください。https://t.co/J6YEizo6qC HM,1310620,1310621,1310621,426269,Fri Oct 27 05:02:59 +0000 2017,CONV_1310621
1310620,426269,True,Fri Oct 27 05:27:09 +0000 2017,"@AmazonHelp セキュリティに問題ありすぎやろ
勝手に計3万くらい引き落とされて
訳わからんSDカード届いたし
もう電話したわ。",,1310619,1310621,426269,Fri Oct 27 05:02:59 +0000 2017,CONV_1310621
1329944,430297,True,Fri Oct 27 12:25:44 +0000 2017,"Oi @115830 
Why can't this book be posted to Northern Ireland?! Royal mail do deliver here, we ain't that backward😂 https://t.co/pqYasPlQny",1329942,,1329944,430297,Fri Oct 27 12:25:44 +0000 2017,CONV_1329944
1329942,AmazonHelp,False,Fri Oct 27 12:31:06 +0000 2017,"@430297 Hi, sorry to see that. Are you getting this error message for all items? ^JJ",1329943,1329944,1329944,430297,Fri Oct 27 12:25:44 +0000 2017,CONV_1329944
1329943,430297,True,Fri Oct 27 12:32:09 +0000 2017,"@AmazonHelp Nope, just the one book I wana order😂 just my luck...",,1329942,1329944,430297,Fri Oct 27 12:25:44 +0000 2017,CONV_1329944
137015,146899,True,Fri Nov 24 09:40:38 +0000 2017,@Amazonhelp Wieso kann ich als Primekunde die Festplatte nicht in Einkaufswagen legen?  Auch Reload der Seite half nicht. https://t.co/bMSHbv6Aas,137014,,137015,146899,Fri Nov 24 09:40:38 +0000 2017,CONV_137015
137014,AmazonHelp,False,Fri Nov 24 09:45:00 +0000 2017,"@146899 Hi, ich gebe das gerne mal zur Überprüfung weiter. Danke für den Hinweis! Liebe Grüße ^TA",137013,137015,137015,146899,Fri Nov 24 09:40:38 +0000 2017,CONV_137015
137013,146899,True,Fri Nov 24 09:46:55 +0000 2017,@AmazonHelp Danke. Unter dem Produktlink selbst ist die Festplatte nicht zu diesem Preis aufgeführt https://t.co/Iz4ivKNVfg,137011,137014,137015,146899,Fri Nov 24 09:40:38 +0000 2017,CONV_137015
137011,AmazonHelp,False,Fri Nov 24 10:01:00 +0000 2017,"@146899 Das liegt daran, dass die Festplatte bereits leider über uns ausverkauft ist. :-( ^KM",137012,137013,137015,146899,Fri Nov 24 09:40:38 +0000 2017,CONV_137015
137012,146899,True,Fri Nov 24 10:03:37 +0000 2017,@AmazonHelp Danke für die Info..,,137011,137015,146899,Fri Nov 24 09:40:38 +0000 2017,CONV_137015
1398866,445300,True,Sat Oct 28 16:15:29 +0000 2017,@115821 We were promised that my nephews bday presents would arrive by 1pm yesterday on his bday!30 hours later still not here! V poor,1398864,,1398866,445300,Sat Oct 28 16:15:29 +0000 2017,CONV_1398866
1398864,AmazonHelp,False,Sat Oct 28 16:22:33 +0000 2017,"@445300 Oh no! I'm sorry we let you down! Just to clarify, did you receive an e-mail with a notice of delay in delivery? ^AL",1398865,1398866,1398866,445300,Sat Oct 28 16:15:29 +0000 2017,CONV_1398866
1398865,445300,True,Sat Oct 28 16:29:42 +0000 2017,@AmazonHelp No we didn't even though it was guaranteed to arrive on his bday. The order number is 204-4423202-2281925.,,1398864,1398866,445300,Sat Oct 28 16:15:29 +0000 2017,CONV_1398866
1409530,447627,True,Sat Oct 28 19:27:37 +0000 2017,"@AmazonHelp By ‘secured location’, donthey mean their car?#neverarrived #neverdelivered #nestsecuritycam https://t.co/uCU7vlm69L",1409528,,1409530,447627,Sat Oct 28 19:27:37 +0000 2017,CONV_1409530
1409528,AmazonHelp,False,Sat Oct 28 19:29:33 +0000 2017,@447627 Oh no! Let's work on this in real time. Please call or chat with us here: https://t.co/hApLpMlfHN ^BA,1409529,1409530,1409530,447627,Sat Oct 28 19:27:37 +0000 2017,CONV_1409530
1409529,447627,True,Sat Oct 28 20:41:51 +0000 2017,@AmazonHelp I contacted. Just want you guys to be aware.,,1409528,1409530,447627,Sat Oct 28 19:27:37 +0000 2017,CONV_1409530
142969,148275,True,Fri Nov 24 12:19:02 +0000 2017,Mas comprei meu kindle novo thanks @117086 #BlackFriday,142967,,142969,148275,Fri Nov 24 12:19:02 +0000 2017,CONV_142969
142967,AmazonHelp,False,Fri Nov 24 12:47:07 +0000 2017,"@148275 Que felicidade Alanis, agora é só contar os segundos né? ^AZ https://t.co/3eN2y2iyX8",142968,142969,142969,148275,Fri Nov 24 12:19:02 +0000 2017,CONV_142969
142968,148275,True,Fri Nov 24 13:49:49 +0000 2017,@AmazonHelp Ansiosamente!!! &lt;3,,142967,142969,148275,Fri Nov 24 12:19:02 +0000 2017,CONV_142969
1451451,456820,True,Thu Nov 02 17:38:26 +0000 2017,Hi @115821! When the box sez Caution! lithium ion batteries--maybe the delivery driver shouldnt throw the box on our porch🙃 https://t.co/Db0kKoHOvB,1451449,,1451451,456820,Thu Nov 02 17:38:26 +0000 2017,CONV_1451451
1451449,AmazonHelp,False,Thu Nov 02 17:43:32 +0000 2017,"@456820 I'm so sorry about this, Michelle! Could you please confirm who the carrier was for this shipment?: https://t.co/Y5jpI9gRhE ^SD",1451450,1451451,1451451,456820,Thu Nov 02 17:38:26 +0000 2017,CONV_1451451
1451450,456820,True,Thu Nov 02 17:56:57 +0000 2017,@AmazonHelp Sure thing!,,1451449,1451451,456820,Thu Nov 02 17:38:26 +0000 2017,CONV_1451451
1531260,475049,True,Fri Nov 03 20:20:16 +0000 2017,been a week and @115830 can't find the parcel! @116324 strike again! #thieves https://t.co/v1LdBJJqFW,1531258,,1531260,475049,Fri Nov 03 20:20:16 +0000 2017,CONV_1531260
1531258,AmazonHelp,False,Fri Nov 03 20:23:49 +0000 2017,@475049 We'd like to help! Pls get in touch with us so we can look into this with you by phone or chat here: https://t.co/JzP7hlA23B ^KJ,1531259,1531260,1531260,475049,Fri Nov 03 20:20:16 +0000 2017,CONV_1531260
1531259,475049,True,Fri Nov 03 20:25:58 +0000 2017,"@AmazonHelp I am with your team now, but you really should not be using such a dodgy courier service. Have you seen this thread @80393 - endless problems and complaints",,1531258,1531260,475049,Fri Nov 03 20:20:16 +0000 2017,CONV_1531260
1545004,478328,True,Sat Nov 04 05:28:55 +0000 2017,@AmazonHelp https://t.co/iincUK6Lnb,1545002,,1545004,478328,Sat Nov 04 05:28:55 +0000 2017,CONV_1545004
1545002,AmazonHelp,False,Sat Nov 04 05:37:00 +0000 2017,"@478328 Apologies, did you report this to our customer service team for a better insight about the refund? ^SI",1545003,1545004,1545004,478328,Sat Nov 04 05:28:55 +0000 2017,CONV_1545004
1545003,478328,True,Sat Nov 04 05:42:35 +0000 2017,@AmazonHelp haan mene baat ki or unhone mujhe 10 din ki died line di thi ki aapki amount bank ac me daal di jaegi lekin abhi tak koi response nahi aaya,,1545002,1545004,478328,Sat Nov 04 05:28:55 +0000 2017,CONV_1545004
1611874,494677,True,Sun Nov 05 11:46:29 +0000 2017,#tfw you pick no rush shipping to get an @115821 prime pantry voucher and it still gets delivered in 2 days. #littlevictories https://t.co/fws2OKMnhz,1611872,,1611874,494677,Sun Nov 05 11:46:29 +0000 2017,CONV_1611874
1611872,AmazonHelp,False,Sun Nov 05 12:12:44 +0000 2017,@494677 Now you can build a cake or something. ^BM,1611873,1611874,1611874,494677,Sun Nov 05 11:46:29 +0000 2017,CONV_1611874
1611873,494677,True,Sun Nov 05 13:34:13 +0000 2017,@AmazonHelp or some nachos! https://t.co/VQSnyJGfPX,,1611872,1611874,494677,Sun Nov 05 11:46:29 +0000 2017,CONV_1611874
1641398,501796,True,Sun Nov 05 23:54:33 +0000 2017,@115821 used to have the best cutomser service and now I'd rather somersault through broken glass than have to call them. 🙄🤷🏽‍♀️,1641396,,1641398,501796,Sun Nov 05 23:54:33 +0000 2017,CONV_1641398
1641396,AmazonHelp,False,Mon Nov 06 00:03:30 +0000 2017,"@501796 I'm sorry you had a poor experience with us! Without providing personal info, can you tell us more about the problem?^AR",1641397,1641398,1641398,501796,Sun Nov 05 23:54:33 +0000 2017,CONV_1641398
1641397,501796,True,Mon Nov 06 00:07:23 +0000 2017,"@AmazonHelp The call center employee is not understanding my simple explanation of what going on. And they apologize every other second, and say ma'am.",1641399,1641396,1641398,501796,Sun Nov 05 23:54:33 +0000 2017,CONV_1641398
1641399,AmazonHelp,False,Mon Nov 06 00:23:14 +0000 2017,"@501796 I understand the frustration. Please keep us posted on the outcome of the call, we want to help anyway we can! ^BV",1641400,1641397,1641398,501796,Sun Nov 05 23:54:33 +0000 2017,CONV_1641398
1641400,501796,True,Mon Nov 06 00:25:37 +0000 2017,@AmazonHelp I figured out how to fix the problem using the app and the rep still didn't understand the problem.,,1641399,1641398,501796,Sun Nov 05 23:54:33 +0000 2017,CONV_1641398
1646824,345837,True,Mon Nov 06 02:12:29 +0000 2017,Thankyou Craig F from @115821 for lying to us. Amazon gone messed up our delivery again. Very dissatisfied,1646822,,1646824,345837,Mon Nov 06 02:12:29 +0000 2017,CONV_1646824
1646822,AmazonHelp,False,Mon Nov 06 02:21:44 +0000 2017,@345837 This isn't what we like to see! Did we miss the promised delivery date shown here: https://t.co/Y5jpI9gRhE? ^DW,1646823,1646824,1646824,345837,Mon Nov 06 02:12:29 +0000 2017,CONV_1646824
1646823,345837,True,Mon Nov 06 03:13:27 +0000 2017,"@AmazonHelp 2 day shipping didn’t happen. Craig said was out for delivery but it’s in San Antonio, not Austin.",1646825,1646822,1646824,345837,Mon Nov 06 02:12:29 +0000 2017,CONV_1646824
1646825,AmazonHelp,False,Mon Nov 06 03:17:31 +0000 2017,@345837 Some carriers will show their closest hub instead of your city. Who is the carrier? Did we contact them for you? ^AM,1646826,1646823,1646824,345837,Mon Nov 06 02:12:29 +0000 2017,CONV_1646824
1646826,345837,True,Mon Nov 06 14:20:10 +0000 2017,@AmazonHelp No. The amazon lady said she had no way to reach out to them.,,1646825,1646824,345837,Mon Nov 06 02:12:29 +0000 2017,CONV_1646824
1662611,256951,True,Mon Nov 06 09:23:50 +0000 2017,"Que grandes los de @115821 en el seguimiento del pedido, solo les falta poner cuando el paquete está en tu calle 😂💪🏻",1662610,,1662611,256951,Mon Nov 06 09:23:50 +0000 2017,CONV_1662611
1662610,AmazonHelp,False,Mon Nov 06 09:31:58 +0000 2017,"@256951 Y nosotros pensando en tele transportación, ya lo estábamos comenzando a probar. ¿Qué opinas? 😅 ^AV https://t.co/y68h5xijG1",1662609,1662611,1662611,256951,Mon Nov 06 09:23:50 +0000 2017,CONV_1662611
1662609,256951,True,Mon Nov 06 09:33:44 +0000 2017,"@AmazonHelp Estaría muy bien, la verdad 😂",1662607,1662610,1662611,256951,Mon Nov 06 09:23:50 +0000 2017,CONV_1662611
1662607,AmazonHelp,False,Mon Nov 06 09:37:00 +0000 2017,@256951 ¿Alguna recomendación para poderlo lograr? 😅 Estamos aceptando sugerencias 👀 ^AV,1662608,1662609,1662611,256951,Mon Nov 06 09:23:50 +0000 2017,CONV_1662611
1662608,256951,True,Mon Nov 06 09:39:15 +0000 2017,"@AmazonHelp Uff pues no se, eso ya es más difícil jaja",,1662607,1662611,256951,Mon Nov 06 09:23:50 +0000 2017,CONV_1662611
1741067,525283,True,Tue Nov 07 16:54:26 +0000 2017,@115830 cardboard packaging doesn't work when the delivery vehicle doesn't keep the rain out. My parcel was wrapped in wet brown mush!,1741065,,1741067,525283,Tue Nov 07 16:54:26 +0000 2017,CONV_1741067
1741065,AmazonHelp,False,Tue Nov 07 17:01:00 +0000 2017,@525283 I'm sorry your order arrived this way! Was anything inside your package damaged? ^VS,1741066,1741067,1741067,525283,Tue Nov 07 16:54:26 +0000 2017,CONV_1741067
1741066,525283,True,Tue Nov 07 17:02:19 +0000 2017,@AmazonHelp Yes both items have minor water damage. I have already reported this through the Amazon web site. Can't understand how it got so wet though!,,1741065,1741067,525283,Tue Nov 07 16:54:26 +0000 2017,CONV_1741067
1744958,526194,True,Tue Nov 07 14:45:57 +0000 2017,@Amazonhelp totally disillusioned by the service I am receiving from you at the moment. As a company you do not care about people just money,1744957,,1744958,526194,Tue Nov 07 14:45:57 +0000 2017,CONV_1744958
1744957,AmazonHelp,False,Tue Nov 07 14:51:05 +0000 2017,"@526194 I'm sorry to hear this, Daniel. Without giving account/personal info, please let us know what's happening. ^MW",1744956,1744958,1744958,526194,Tue Nov 07 14:45:57 +0000 2017,CONV_1744958
1744956,526194,True,Tue Nov 07 14:52:30 +0000 2017,@AmazonHelp you send me a printer and it is apparently delivered at 11-11 pm yesterday which is untrue. The business wasn’t open. Lies,1744954,1744957,1744958,526194,Tue Nov 07 14:45:57 +0000 2017,CONV_1744958
1744954,AmazonHelp,False,Tue Nov 07 14:58:46 +0000 2017,"@526194 We'll be happy to help, Daniel! Please contact us by phone or chat and we'll be happy to help: https://t.co/JzP7hlA23B ^SD",1744955,1744956,1744958,526194,Tue Nov 07 14:45:57 +0000 2017,CONV_1744958
1744955,526194,True,Tue Nov 07 15:02:10 +0000 2017,"@AmazonHelp I have tried that twice today, it was sent by amazon logistics yet you can’t find it or resend a new item.",,1744954,1744958,526194,Tue Nov 07 14:45:57 +0000 2017,CONV_1744958
17686,119908,True,Wed Nov 01 04:15:40 +0000 2017,@AmazonHelp hey I started a Amazon prime trial..i was charged $1..wats that about ?,17684,,17686,119908,Wed Nov 01 04:15:40 +0000 2017,CONV_17686
17684,AmazonHelp,False,Wed Nov 01 04:44:29 +0000 2017,"@119908 When you sign up for a Prime free trial, we send an authorization to your bank. Here's more info: https://t.co/9Kj5TvSFFo ^JP",17685,17686,17686,119908,Wed Nov 01 04:15:40 +0000 2017,CONV_17686
17685,119908,True,Wed Nov 01 04:45:56 +0000 2017,@AmazonHelp Okay👍,,17684,17686,119908,Wed Nov 01 04:15:40 +0000 2017,CONV_17686
1771774,532556,True,Sat Nov 11 10:33:38 +0000 2017,"@AmazonHelp ça fait deux jours que un livreur a ""un soucis d'adresse"", alors que au début de la semaine j'ai reçu un autre colis de votre part (Tous deux amazon logistics), j'espère que mon colis n'a pas été volé",1771772,,1771774,532556,Sat Nov 11 10:33:38 +0000 2017,CONV_1771774
1771772,AmazonHelp,False,Sat Nov 11 10:47:56 +0000 2017,"@532556 Bonjour, je suis désolé pour cela, que dit le suivi de votre colis?
^YL",1771773,1771774,1771774,532556,Sat Nov 11 10:33:38 +0000 2017,CONV_1771774
1771773,532556,True,Sat Nov 11 10:52:25 +0000 2017,"@AmazonHelp Vendredi: livraison en cours mais rien aucun appel
Samedi: livraison en cours, je reçois un appel Amazon, je réponds et personne ne parle donc livraison reportée à demain car impossible d'avoir un contact avec le livreur directement https://t.co/qgjdem1aZe",,1771772,1771774,532556,Sat Nov 11 10:33:38 +0000 2017,CONV_1771774
1773018,247626,True,Wed Nov 08 02:10:10 +0000 2017,"Sooo ""your package will be delivered by 8pm"" lies you tell @115821 @AmazonHelp  #PrimeRefund #WheresMyPackage",1773016,,1773018,247626,Wed Nov 08 02:10:10 +0000 2017,CONV_1773018
1773016,AmazonHelp,False,Wed Nov 08 02:15:31 +0000 2017,"@247626 Oh my! I'm very sorry you haven't received your package, Adrianna! Did you receive a reason for the delay in delivery? ^HM",1773017,1773018,1773018,247626,Wed Nov 08 02:10:10 +0000 2017,CONV_1773018
1773017,247626,True,Wed Nov 08 02:16:05 +0000 2017,@AmazonHelp No I haven't gotten a reason yet.,,1773016,1773018,247626,Wed Nov 08 02:10:10 +0000 2017,CONV_1773018
1779344,534614,True,Mon Oct 23 13:33:14 +0000 2017,Very disappointed with @115821 today. Marked item as failed to deliver but no delivery was even attempted. Now delayed even with @AmazonHelp,1779342,,1779344,534614,Mon Oct 23 13:33:14 +0000 2017,CONV_1779344
1779342,AmazonHelp,False,Mon Oct 23 13:39:10 +0000 2017,"@534614 I'm sorry to hear we've let you down, Micael! Have you been provided a new delivery date for the order? ^CS",1779343,1779344,1779344,534614,Mon Oct 23 13:33:14 +0000 2017,CONV_1779344
1779343,534614,True,Mon Oct 23 14:22:18 +0000 2017,"@AmazonHelp Yap, tomorrow; but specifically wanted it today. Cancelled, bought and collected from @116245. Sorry @AmazonHelp, maybe next time.",,1779342,1779344,534614,Mon Oct 23 13:33:14 +0000 2017,CONV_1779344
1806500,342507,True,Tue Nov 14 23:49:09 +0000 2017,@AmazonHelp I placed a few orders on Saturday on Amazon.ca however the money has yet to be taken out of my bank account and the two orders are still waiting to be shipped. One order was supposed to ship yesterday but it’s now on “will ship soon”.,1806498,,1806500,342507,Tue Nov 14 23:49:09 +0000 2017,CONV_1806500
1806498,AmazonHelp,False,Wed Nov 15 00:00:00 +0000 2017,"@342507 I'm sorry your order is taking longer than expected! Have we missed the delivery date shown in your order confirmation: https://t.co/PyACxvY8Qo. When you first place an order, we authorize the payment, but we don't charge you until the order ships. Keep us posted! ^BN",1806499,1806500,1806500,342507,Tue Nov 14 23:49:09 +0000 2017,CONV_1806500
1806499,342507,True,Wed Nov 15 00:16:54 +0000 2017,@AmazonHelp Both orders show delivery estimate for Friday November 17th by 8 PM.,1806501,1806498,1806500,342507,Tue Nov 14 23:49:09 +0000 2017,CONV_1806500
1806501,AmazonHelp,False,Wed Nov 15 00:34:30 +0000 2017,@342507 Thanks for the extra information. The orders can ship anytime between now and the day of delivery. Please keep us posted! ^BH,1806502,1806499,1806500,342507,Tue Nov 14 23:49:09 +0000 2017,CONV_1806500
1806502,342507,True,Wed Nov 15 00:38:17 +0000 2017,@AmazonHelp Alright will do!,,1806501,1806500,342507,Tue Nov 14 23:49:09 +0000 2017,CONV_1806500
1929467,574161,True,Wed Oct 18 15:10:27 +0000 2017,"And this is why you never count on ""2 day shipping"" kids @115821 go figure the one and only time I really make a purchase after five years😡 https://t.co/ObTjQjiFtl",1929465,,1929467,574161,Wed Oct 18 15:10:27 +0000 2017,CONV_1929467
1929465,AmazonHelp,False,Wed Oct 18 15:16:36 +0000 2017,@574161 I'm sorry for the delay. We'd like to look at this with you. Please call or chat with us here: https://t.co/hApLpMlfHN ^MH,1929466,1929467,1929467,574161,Wed Oct 18 15:10:27 +0000 2017,CONV_1929467
1929466,574161,True,Wed Oct 18 15:20:19 +0000 2017,"@AmazonHelp I didn't work for fatalities &amp; late deliveries, work hard make history my a$$ #""dontbelievethehype""PublicEnemyvoice",,1929465,1929467,574161,Wed Oct 18 15:10:27 +0000 2017,CONV_1929467
2132856,627588,True,Wed Nov 08 20:01:16 +0000 2017,"@120540, hai bucato la consegna, mi mandi email chilometrica e anonima, dicendo di aspettare 6 giorni prima di contattarti. Meno male che sei famosa per la customer care...",2132854,,2132856,627588,Wed Nov 08 20:01:16 +0000 2017,CONV_2132856
2132854,AmazonHelp,False,Wed Nov 08 20:20:00 +0000 2017,@627588 L'articolo è stato spedito? Qual era la data di consegna prevista indicata al momento dell'ordine? ^MP,2132855,2132856,2132856,627588,Wed Nov 08 20:01:16 +0000 2017,CONV_2132856
2132855,627588,True,Wed Nov 08 23:18:00 +0000 2017,"@AmazonHelp Articolo ordinato 1 novembre, spedito il 6, consegna prevista 8 nov",,2132854,2132856,627588,Wed Nov 08 20:01:16 +0000 2017,CONV_2132856
2179002,638612,True,Thu Oct 19 12:37:49 +0000 2017,"Salut @120533, ça prends combien de temps le remboursement quand on se désinscrit de l’abonnement prime ?",2179000,,2179002,638612,Thu Oct 19 12:37:49 +0000 2017,CONV_2179002
2179000,AmazonHelp,False,Thu Oct 19 12:43:29 +0000 2017,"@638612 Bonjour, le remboursement est finalisé sous 5 à 7 jours ouvrés. ^FA",2179001,2179002,2179002,638612,Thu Oct 19 12:37:49 +0000 2017,CONV_2179002
2179001,638612,True,Thu Oct 19 12:44:45 +0000 2017,"@AmazonHelp Merci frèro, bonne journée 💜",2179003,2179000,2179002,638612,Thu Oct 19 12:37:49 +0000 2017,CONV_2179002
2179003,AmazonHelp,False,Thu Oct 19 12:56:03 +0000 2017,@638612 C'était une collègue 😜 Excellente journée à vous aussi 😊 ^MA,2179004,2179001,2179002,638612,Thu Oct 19 12:37:49 +0000 2017,CONV_2179002
2179004,638612,True,Thu Oct 19 13:01:35 +0000 2017,@AmazonHelp Ah ! Bah dis lui merci sœurette dans ce cas la 😁😁,,2179003,2179002,638612,Thu Oct 19 12:37:49 +0000 2017,CONV_2179002
2201703,643888,True,Thu Oct 19 14:23:14 +0000 2017,Just received a very convincing spam e mail purporting to be from @115830 re prime membership - watch out!,2201701,,2201703,643888,Thu Oct 19 14:23:14 +0000 2017,CONV_2201703
2201701,AmazonHelp,False,Thu Oct 19 14:27:31 +0000 2017,"@643888 We want to keep an eye on oddities like this. When you get the time, can you report the e-mail here: https://t.co/lfRA5oHWAE ^MJ",2201702,2201703,2201703,643888,Thu Oct 19 14:23:14 +0000 2017,CONV_2201703
2201702,643888,True,Thu Oct 19 14:31:52 +0000 2017,@AmazonHelp Done!,,2201701,2201703,643888,Thu Oct 19 14:23:14 +0000 2017,CONV_2201703
2269078,660316,True,Sat Nov 11 10:34:41 +0000 2017,"@115850 hi, my sister had bought a Moto g plus 4th gen phone in January 2017, now it's malfunctioning. What is the warranty on the phone?",2269076,,2269078,660316,Sat Nov 11 10:34:41 +0000 2017,CONV_2269078
2269076,AmazonHelp,False,Sat Nov 11 10:46:51 +0000 2017,@660316 I'm sorry to the phone isn't working fine. You have a one-year warranty for the device from the manufacturer. ^SB,2269077,2269078,2269078,660316,Sat Nov 11 10:34:41 +0000 2017,CONV_2269078
2269077,660316,True,Sat Nov 11 10:56:46 +0000 2017,@AmazonHelp How to avail this warranty?,,2269076,2269078,660316,Sat Nov 11 10:34:41 +0000 2017,CONV_2269078
2273440,661298,True,Sat Nov 11 11:48:48 +0000 2017,@115821 are lowkey the worst with regards to delivery. Even with their “Prime” I ordered on Wednesday and STILL it’s not arrived.,2273439,,2273440,661298,Sat Nov 11 11:48:48 +0000 2017,CONV_2273440
2273439,AmazonHelp,False,Sat Nov 11 12:10:25 +0000 2017,"@661298 Apologies that you haven't received the order, could you confirm if we've missed the delivery timelines as all the orders will be delivered as per the delivery estimates. ^SU",2273438,2273440,2273440,661298,Sat Nov 11 11:48:48 +0000 2017,CONV_2273440
2273438,661298,True,Sat Nov 11 12:26:25 +0000 2017,@AmazonHelp Was promised a call last night I didn’t get one and I get this email this morning which fraudulently claims you tried to contact me on a number I’ve never seen/used/ or come across in my life. When will you sort it out? Do you leave all your customers disgruntled? https://t.co/zk4LgQGvsG,2273436,2273439,2273440,661298,Sat Nov 11 11:48:48 +0000 2017,CONV_2273440
2273436,AmazonHelp,False,Sat Nov 11 13:00:00 +0000 2017,"@661298 Hmm, that is odd! We never want you to feel this way. Let's get this cleared up. Please reach out to us via phone or chat: https://t.co/JzP7hlA23B. You can also verify this phone is not on your account by going here: https://t.co/4583yYQRom. ^AL",2273437,2273438,2273440,661298,Sat Nov 11 11:48:48 +0000 2017,CONV_2273440
2273437,661298,True,Sat Nov 11 13:05:56 +0000 2017,@AmazonHelp How about you guys reach out to me I’ve already spent 30 mins on the phone last night https://t.co/gToe7svAJa,,2273436,2273440,661298,Sat Nov 11 11:48:48 +0000 2017,CONV_2273440
2278462,662488,True,Thu Oct 19 18:49:48 +0000 2017,"Evening express von @116316 ist nutzlos, wenn @124285 nicht mitspielt, weil die packstation ""z.b. Betriebsferien"" hat. Alles klar",2278460,,2278462,662488,Thu Oct 19 18:49:48 +0000 2017,CONV_2278462
